benchmark,lfi-cet-jumps-clang-m64,lfi-cfs-jumps-clang-m64,lfi-hwcet-jumps-clang-m64,lfi-jumps-clang-m64,lfi-safestack-jumps-clang-m64,lfi-swcet-jumps-clang-m64,lfi-swendbr-jumps-clang-m64
502.gcc,12.317,15.840,11.621,7.387,5.714,8.234,3.986
505.mcf,1.005,0.128,0.576,1.977,0.761,0.875,0.508
508.namd,5.378,6.053,5.661,5.127,5.359,5.182,4.638
510.parest,4.907,3.185,6.402,3.306,1.883,4.046,2.012
511.povray,16.257,34.432,13.294,6.617,7.760,15.977,2.105
519.lbm,3.358,1.926,3.603,3.889,3.973,3.775,3.382
520.omnetpp,14.046,22.936,11.684,3.446,7.290,13.658,-1.208
523.xalancbmk,7.499,8.002,3.452,3.064,2.708,7.730,-1.257
525.x264,5.520,9.426,3.221,10.977,3.226,5.715,2.575
531.deepsjeng,2.876,7.680,2.104,5.344,0.292,3.444,0.350
538.imagick,6.057,11.273,5.955,1.267,5.021,5.320,1.875
541.leela,5.896,8.800,4.902,9.442,3.377,4.966,2.746
544.nab,1.408,2.228,1.358,1.126,0.322,2.349,0.417
557.xz,-1.471,0.057,1.187,-1.818,2.706,1.615,-2.410
geomean,5.965,9.064,5.285,4.316,3.574,5.841,1.389
