benchmark,lfi-cet-jumps-clang-m64,lfi-cfs-jumps-clang-m64,lfi-hwcet-jumps-clang-m64,lfi-jumps-clang-m64,lfi-safestack-jumps-clang-m64,lfi-swcet-jumps-clang-m64,lfi-swendbr-jumps-clang-m64
502.gcc,6.692,15.029,5.660,35.762,14.367,60.837,5.659
505.mcf,8.342,14.570,7.706,26.069,8.536,33.654,7.658
508.namd,4.815,7.931,4.265,20.366,5.986,23.154,4.263
510.parest,18.971,27.850,15.114,42.432,22.942,69.095,15.113
511.povray,8.108,15.319,7.112,30.273,13.715,46.077,7.109
519.lbm,8.765,15.832,8.018,27.361,9.105,35.791,7.961
520.omnetpp,34.960,58.259,24.532,67.251,43.620,120.338,24.529
523.xalancbmk,40.589,55.580,27.116,60.654,45.032,109.918,27.115
525.x264,6.328,10.544,4.634,20.644,8.283,28.003,4.630
531.deepsjeng,5.822,10.165,5.499,20.944,6.530,21.719,5.477
538.imagick,6.210,11.374,5.584,29.993,10.656,47.046,5.582
541.leela,20.731,38.821,16.710,46.788,25.352,76.815,16.705
544.nab,9.006,15.127,8.218,28.781,12.262,40.245,8.195
557.xz,13.200,22.278,10.723,25.879,13.921,33.836,10.700
geomean,13.274,21.821,10.560,33.817,16.569,50.724,10.546
