benchmark,lfi-cet-jumps-clang-m64,lfi-cfs-jumps-clang-m64,lfi-hwcet-jumps-clang-m64,lfi-jumps-clang-m64,lfi-safestack-jumps-clang-m64,lfi-swcet-jumps-clang-m64,lfi-swendbr-jumps-clang-m64
502.gcc,4.488,8.004,4.360,6.607,4.329,12.024,3.270
505.mcf,0.347,0.596,-1.789,-0.267,0.633,0.853,0.343
508.namd,0.132,1.400,0.735,0.890,0.103,0.500,2.857
510.parest,2.081,3.901,3.977,4.565,0.936,3.025,0.955
511.povray,6.283,25.859,5.177,4.384,8.128,31.777,2.064
519.lbm,-0.046,-0.468,-0.007,-0.034,-0.006,-0.052,-0.050
520.omnetpp,7.973,17.328,6.252,3.588,7.251,17.206,0.977
523.xalancbmk,3.679,5.014,0.187,1.727,2.868,9.293,1.128
525.x264,3.695,6.291,2.012,6.618,1.740,5.721,2.510
531.deepsjeng,2.855,5.862,2.798,6.277,2.326,4.216,0.930
538.imagick,1.254,0.223,1.384,-0.095,0.634,3.022,-0.699
541.leela,4.592,8.468,4.504,9.665,3.593,7.181,3.351
544.nab,0.408,0.729,0.370,0.770,0.015,0.795,-0.089
557.xz,0.777,0.821,1.555,0.246,1.542,1.547,0.082
geomean,2.724,5.775,2.227,3.164,2.405,6.633,1.251
