benchmark,lfi-clang-m64,lfi-stores-clang-m64,lfi-jumps-clang-m64
502.gcc,47.519,39.898,35.762
505.mcf,37.056,30.249,26.069
508.namd,30.485,24.046,20.366
510.parest,53.827,46.591,42.432
511.povray,40.500,35.029,30.273
519.lbm,36.941,31.133,27.361
520.omnetpp,79.010,71.554,67.251
523.xalancbmk,79.525,65.770,60.654
525.x264,31.987,24.556,20.644
531.deepsjeng,31.117,24.196,20.944
538.imagick,38.336,33.365,29.993
541.leela,60.131,52.344,46.788
544.nab,38.058,32.205,28.781
557.xz,38.984,32.382,25.879
geomean,45.168,38.100,33.817
